Complexity,Loss,Equation
1,5925.2695,"136.11723"
3,1018.45026,"r + v_b"
5,813.4395,"(r + v_b) + r"
6,803.3289,"(v_b + 63.62876) * 0.75897986"
7,783.9016,"sqrt(v_b) * 14.301999"
9,730.7004,"((r + v_b) + r) / 1.1822401"
10,305.98865,"r + ((44.9459 + v_b) ^ 0.9572043)"
12,228.48634,"(r + (44.9459 + (r + v_b))) ^ 0.9572043"
14,213.41739,"(((r + (r + v_b)) + 44.9459) ^ 0.9572043) + -1.0841377"
16,209.10065,"(((r + ((44.9459 + r) + v_b)) ^ 0.9572043) + -1.0841377) + -0.34620008"
