Complexity,Loss,Equation
1,5974.906,"135.27446"
3,789.04205,"v_b + r"
5,657.81305,"(v_b + r) + r"
6,585.66675,"(v_b + 57.876522) * 0.782249"
8,182.42123,"r + ((v_b + 49.54728) * 0.7616884)"
10,152.21625,"((v_b + (r + r)) + 47.587505) * 0.78401417"
12,66.07207,"((r / 0.3915447) + (v_b + 41.679688)) * 0.7432816"
