Complexity,Loss,Equation
3,1039.7585,"v_b + r"
5,822.81213,"(v_b + r) + r"
7,820.05414,"1.5157915 + (r + (v_b + r))"
9,355.563,"(v_b + (r + 56.934986)) / 1.3111559"
17,311.4097,"(sqrt((v_b ^ 1.6983812) / 0.21950787) + r) + r"
19,303.2338,"(r + r) + sqrt(((1.00564 + v_b) ^ 1.6983812) / 0.21950787)"
