Complexity,Loss,Equation
1,5928.9805,"133.7887"
3,828.878,"v_b + r"
5,745.874,"r + (r + v_b)"
6,713.0684,"v_b + (r * 1.6526232)"
8,450.17972,"(r + (v_b * 0.88418347)) + r"
10,430.44278,"r + ((0.88418347 * v_b) + (r + 0.88418347))"
11,114.288605,"(r + ((v_b + 39.48494) / 1.3638359)) + r"
