Complexity,Loss,Equation
1,4793.947,"140.08844"
3,1033.6561,"v_b + r"
5,869.3833,"v_b + (r + r)"
7,561.5845,"sqrt(v_b) * 14.273106"
9,291.16052,"(sqrt(v_b) * 13.293964) + r"
10,200.3553,"((v_b * 0.7082377) + (r + 6.045432)) + 40.617973"
12,102.21174,"((r + 21.280262) + (v_b / 2.5576513)) * 1.7903636"
16,97.91445,"((v_b * 0.6159911) + ((sqrt(v_b) + r) * 1.7570361)) + 31.926983"
