Complexity,Loss,Equation
1,5366.073,"140.7733"
3,1294.8195,"v_b + r"
5,1280.52,"(v_b + 3.7810812) + r"
6,1024.6019,"r + (v_b * 0.9125017)"
8,730.7118,"(v_b + 52.81883) + (v_b * -0.30646303)"
10,537.5658,"(r + r) + ((r + v_b) * 0.7918747)"
14,251.5938,"(r + 45.21432) + sqrt((g_bar * 0.45330974) * r)"
18,80.399635,"((r + (r + 19.373766)) + 18.245148) + sqrt((g_bar * 0.4263838) * r)"
