Complexity,Loss,Equation
1,5800.9336,"149.71078"
3,1256.6777,"r + v_b"
5,919.5352,"v_b + (r + r)"
6,849.54724,"(v_b * 0.7337298) + 59.206837"
7,735.1825,"sqrt(v_b) * 14.925714"
8,301.47714,"((v_b * 0.7211948) + 49.892014) + r"
12,173.1785,"((r + ((v_b + 29.107874) + r)) + 29.257427) * 0.7359139"
